title,rank,date,artist,url,region,chart,trend,streams
We Do It Best,1,2017-07-22,"Tay Alesia, Tanner Fox, Dylan Matthew",https://open.spotify.com/track/09Eu4ztUCwqgVqik1eQmCr,United States,viral50,NEW_ENTRY,
Wild Thoughts (feat. Rihanna & Bryson Tiller),1,2017-06-25,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,United States,viral50,SAME_POSITION,
Get Some,1,2017-07-24,"Ghosted, KAMILLE",https://open.spotify.com/track/5Gk0ZZ9b887U85L69rz6tu,United States,viral50,NEW_ENTRY,
rockstar,1,2017-12-23,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,SAME_POSITION,1504278.0
Green Light,1,2017-03-07,Lorde,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7,United States,viral50,NEW_ENTRY,
God's Plan,1,2018-01-21,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,NEW_ENTRY,3319219.0
Get Some,1,2017-07-25,"Ghosted, KAMILLE",https://open.spotify.com/track/5Gk0ZZ9b887U85L69rz6tu,United States,viral50,SAME_POSITION,
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,2021-11-29,Taylor Swift,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,United States,top200,SAME_POSITION,1227002.0
Easy On Me,1,2021-10-28,Adele,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,United States,top200,SAME_POSITION,1552789.0
Green Light,1,2017-03-08,Lorde,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7,United States,viral50,SAME_POSITION,
Easy On Me,1,2021-11-30,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,United States,top200,MOVE_UP,1228738.0
No Complaints,1,2017-06-26,"Metro Boomin, Offset, Drake",https://open.spotify.com/track/4OURH8h9ylAU1aD4eSspiI,United States,viral50,NEW_ENTRY,
Get Some,1,2017-07-26,"Ghosted, KAMILLE",https://open.spotify.com/track/5Gk0ZZ9b887U85L69rz6tu,United States,viral50,SAME_POSITION,
Get Some,1,2017-07-27,"Ghosted, KAMILLE",https://open.spotify.com/track/5Gk0ZZ9b887U85L69rz6tu,United States,viral50,SAME_POSITION,
No Complaints,1,2017-06-27,"Metro Boomin, Offset, Drake",https://open.spotify.com/track/4OURH8h9ylAU1aD4eSspiI,United States,viral50,SAME_POSITION,
Get Some,1,2017-07-28,"Ghosted, KAMILLE",https://open.spotify.com/track/5Gk0ZZ9b887U85L69rz6tu,United States,viral50,SAME_POSITION,
Green Light,1,2017-03-09,Lorde,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7,United States,viral50,SAME_POSITION,
Get Some,1,2017-07-29,"Ghosted, KAMILLE",https://open.spotify.com/track/7xNk3mDmOdHlUfnjYgrh8X,United States,viral50,NEW_ENTRY,
STAY (with Justin Bieber),1,2021-08-28,The Kid LAROI,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,United States,top200,SAME_POSITION,1929119.0
No Complaints,1,2017-06-28,"Metro Boomin, Offset, Drake",https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod,United States,viral50,NEW_ENTRY,
Get Some,1,2017-07-30,"Ghosted, KAMILLE",https://open.spotify.com/track/7xNk3mDmOdHlUfnjYgrh8X,United States,viral50,SAME_POSITION,
Turn Up On the Weekend,1,2017-07-31,"Branchez, Big Wet",https://open.spotify.com/track/2AEzMPR01sg1wsXurYrgDx,United States,viral50,MOVE_UP,
No Complaints,1,2017-06-29,"Metro Boomin, Offset, Drake",https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod,United States,viral50,SAME_POSITION,
No Complaints,1,2017-06-30,"Metro Boomin, Offset, Drake",https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod,United States,viral50,SAME_POSITION,
All I Want for Christmas Is You,1,2017-12-24,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United States,top200,MOVE_UP,1670708.0
God's Plan,1,2018-01-22,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,4326679.0
Dicked Down in Dallas,1,2021-01-01,Trey Lewis,https://open.spotify.com/track/1yhft6ZqYadd4GOrKrmK3a,United States,viral50,SAME_POSITION,
Dicked Down in Dallas,1,2021-01-02,Trey Lewis,https://open.spotify.com/track/1yhft6ZqYadd4GOrKrmK3a,United States,viral50,SAME_POSITION,
Jail,1,2021-08-29,Kanye West,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK,United States,top200,NEW_ENTRY,4277327.0
Dicked Down in Dallas,1,2021-01-03,Trey Lewis,https://open.spotify.com/track/1yhft6ZqYadd4GOrKrmK3a,United States,viral50,SAME_POSITION,
All I Want for Christmas Is You,1,2017-12-25,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United States,top200,SAME_POSITION,2075827.0
God's Plan,1,2018-01-23,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,4324386.0
Dicked Down in Dallas,1,2021-01-04,Trey Lewis,https://open.spotify.com/track/1yhft6ZqYadd4GOrKrmK3a,United States,viral50,SAME_POSITION,
Wildest Dreams,1,2021-01-05,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,NEW_ENTRY,
rockstar,1,2017-12-26,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,MOVE_UP,1346401.0
Wildest Dreams,1,2021-01-06,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,SAME_POSITION,
God's Plan,1,2018-01-24,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,4708015.0
